ISBN10,Author
0345260317,Carl Sagan
0394743741,Aleksandr Zinoviev
042511774X,Anne Tyler
0804106304,Amy Tan
1853262404,Joseph Conrad
0312970242,Deepak Chopra
0312970242,Martin Greenberg
1853260053,Thomas Hardy
1414035004,Charles Noland
1414035004,Sherri Baker
0060938412,Valerie Frankel
0140067477,Benjamin Hoff
0345465083,Laura Hillenbrand
0451625889,Niccolo Machiavelli
1558531025,H. Jackson Brown Jr.
0441783589,Robert A. Heinlein
0394895894,Philip Pullman
1569871213,
0375410538,Michael Ondaatje
0966986105,Sandra Levy Ceren
087113375X,P. J. O'Rourke
0340767936,Mike Gayle
0743403843,Stel Pavlou
0060930365,Sarah Payne Stuart
0060177586,Dan Quayle
0071416331,Donald F. Kettl
0071416331,Donald Kettl
0375509038,David Frum
0553062042,Louis L'Amour
0316769487,J.D. Salinger
0679429220,John Berendt
0671867156,Mary Higgins Clark
0312252617,Jennifer Crusie
0312261594,Jane Heller
0316748641,Michael Rips
0316973742,Simon Mawer
0385235941,William Abrahams
0446677450,Robert T. Kiyosaki
0446677450,Sharon L. Lechter
0451166892,Ken Follett
0553347594,John F. Love
0671621009,Robert G. Allen
067976397X,Louis De Bernieres
0684822733,Pam Proctor
0684822733,Allen M. Schoen
0786868716,Mitch Albom
0671864769,Michael Jan Friedman
0671864769,Ronald D. Moore
0671521519,Glendon Swarthout
0440222303,Neal Barrett Jr.
0440222303,J. Michael Straczynski
0312953453,David Morrell
0446608653,Sandra Brown
0446612545,James Patterson
0446612545,Peter De Jonge
0446612618,Sandra Brown
0451208080,Stuart Woods
0553584383,Iris Johansen
0671027360,Dan Brown
0812575954,Joe Hutsko
0316735736,Anita Shreve
0743439740,Ann Rule
0345372700,Lewis Grizzard
0380619458,Paul Theroux
0446325805,Lewis Grizzard
0451406923,Charles Hickey
0451406923,Todd Lighty
0451406923,John O'Brien
0671042858,Stephen King
0743249992,Ben Mezrich
0840734530,Bill Hand
0425184226,Tom Clancy
0375500766,Dana Reeve
9724119378,Roy
0451205197,Barbara Metzger
0060929790,Gabriel Garcia Marquez
0060976845,Rebecca Wells
0061099325,Tony Hillerman
0671004573,Mary Higgins Clark
0446601640,Robert James Waller
0330484516,Rachel Harris
038572179X,Ian McEwan
0393020371,Michael Lewis
1900850303,Richard Zimler
1903019699,Norman Jetmundsen
0345425294,Lorenzo Carcaterra
0451410319,Anne Frasier
0553583468,Kay Hooper
0380778556,Daphne Du Maurier
0451525221,Nathaniel Hawthorne
0451525221,Leo Marx
0002740230,Nick Page
0385336772,Laura Wolf
0440949424,Lois Duncan
0505524996,Susan Grant
0140252800,Barbara Vine
0451452755,Shirley Rousseau Murphy
0812575482,Jane Lindskold
044651747X,Robert James Waller
0060801263,Betty Smith
0061030147,Cybill Shepherd
0061030147,Aimee Lee Ball
0140250964,Stewart O'Nan
0446527165,David Baldacci
0671461494,Douglas Adams
0385337639,Mary Lawson
039575514X,Willa Cather
0451206673,Olivia Goldsmith
0330332775,Helen Fielding
0486284735,Jane Austen
0486284735,Dover Thrift Editions
0671021745,Franklin W. Dixon
0671047612,Franklin W. Dixon
0671504282,Franklin W. Dixon
0399138684,Lilian Jackson Braun
0785263292,Holly Virden
0785263292,Michelle McKinney Hammond
0830714014,H. Norman Wright
0345354931,Piers Anthony
0553278223,Ray Bradbury
3150000335,Friedrich Schiller
3150000335,Walter Schafarschik
3257203659,Ray Bradbury
3257203659,Peter Naujack
3257207522,Raymond Chandler
3257207522,Hans Wollschläger
3257208626,Ray Bradbury
3257208634,Ray Bradbury
3257208634,Thomas Schlück
3257208669,Ray Bradbury
3257208669,Norbert Wölfl
3257210450,Ray Bradbury
3257210450,Alexander Schmitz
3257212054,Ray Bradbury
3257212429,Ray Bradbury
3257214154,Ray Bradbury
3257214154,Jürgen Bauer
3257214154,Alastair Ker
3257216416,Ray Bradbury
3257233051,Paulo Coelho
3257233051,Maralde Meyer-Minnemann
342311360X,Gabriel García Márquez
3423116714,Fay Weldon
3423241489,Arabella Weir
3426605686,Kiana Davenport
3426605686,Margarete Längsfeld
3453212150,Sue Townsend
3462021095,Renan Demirkan
3492045642,Michael Moore
3492045642,Helmut Dierlamm
3492045642,Heike Schlatterer
3498020862,Jonathan Franzen
3498020862,Bettina Abarbanell
3499110695,J. D. Salinger
3499110695,Annemarie Böll
3499110695,Heinrich Böll
3499110695,Elisab
3499151502,J. D. Salinger
3499151502,Annemarie Böll
3499151502,Heinrich Böll
3518111000,James Joyce
3518111000,Hans Wollschläger
3548254268,Joanna Trollope
3570300099,Sue Townsend
3570300099,Antoinette Gittinger
3596292646,Milan Kundera
0060977493,Arundhati Roy
0312872682,Robert S. Levinson
0316602906,James Patterson
0316693006,James Patterson
0345311396,Richard North Patterson
0345378490,Michael Crichton
0345404793,Richard North Patterson
0345433173,Lorna Landvik
0375400117,Arthur Golden
0375705856,Kent Haruf
0380717018,Patricia D Cornwell
0380718332,Patricia D. Cornwell
0380754509,Carol J. Farley
0380754509,Tom Newsom
038076654X,Kathleen E. Woodiwiss
0380807866,Kathleen E. Woodiwiss
0385316895,Belva Plain
0385497466,John Grisham
0385508042,John Grisham
0385509456,Mark Haddon
0385511612,John Grisham
0385730586,Ann Brashares
0425164403,Erich Segal
0440234964,Elizabeth Adler
0446605484,James Patterson
0446610399,Nicholas Sparks
0449006522,John Saul
0449911004,Lorna Landvik
0451162072,Stephen King
0451186648,Steve Thayer
0452282152,Tracy Chevalier
051513290X,Judith Kelman
0553580388,Michael Palmer
0590598848,Francine Hughes
0590629719,Norman Bridwell
0671023616,Patricia Cornwell
0671027387,Dan Brown
0684848783,Frank McCourt
0743486226,Dan Brown
0786863986,Malachy Mccourt
0803251718,Mari Sandoz
0804117934,Anne Perry
140003180X,Alexander Mccall Smith
155874262X,Jack Canfield
155874262X,Mark Victor Hansen
155874262X,Barbara Bergman
0060987103,Gregory Maguire
0151008116,Yann Martel
0375704965,Ruth Rendell
0525947647,Al Franken
0804111359,Donna Tartt
1558744150,Jack Canfield
1558744150,Mark Victor Hansen
1558744150,Jennifer Read Haw
0435272683,John Milne
0316782505,Anita Shreve
006102063X,Terry Pratchett
0060013117,Terry Pratchett
0060199563,Terry Pratchett
006052779X,E. B. White
006052779X,Garth Williams
0060563079,J. M. Barrie
0060809027,Mary O'Hara
0061040967,Terry Pratchett
0061040967,Paul Kidby
0061050474,Terry Pratchett
0061052515,Terry Pratchett
0061052523,Terry Pratchett
0064472264,Louise Rennison
0140620664,JANE AUSTEN
0312148267,Kenneth Grahame
0312156960,Bernard Cornwell
0312890044,Charles De Lint
034543191X,Lord Dunsany
034543191X,Neil Gaiman
0373836023,Georgette Heyer
0375751513,Oscar Wilde
0375751513,Jeffrey Eugenides
0375801677,Ted Hughes
0375801677,Andrew Davidson
0375814248,Roald Dahl
0375814248,Quentin Blake
0375823352,Philip Pullman
037582345X,Philip Pullman
0375823468,Philip Pullman
0380730448,Sue Townsend
0380973839,Ray Bradbury
0385327773,Donna Jo Napoli
0394586239,A.S. Byatt
0439510112,Tanuja Desai Hidier
0440241413,Sophie Kinsella
0451409256,Isabel Wolff
0451523415,Louisa May Alcott
0451526279,Jane Austen
0451526279,Margaret Drabble
0451526341,George Orwell
0486415864,Charles Dickens
0553280589,Isabel Allende
0571197639,Barbara Kingsolver
0670035262,Ellen Datlow
0670035262,Terri Windling
0670035262,Charles Vess
0670035262,Neil Gaim
0679423079,Charles Dickens
0679751343,A.S. Byatt
0684833395,Joseph Heller
0743245024,John Galsworthy
0749748001,Enid Blyton
0749748028,Enid Blyton
0963094424,Neil Gaiman
1401201172,Alan Moore
1401201172,Kevin O'Neill
1401201172,Ben Dimagmaliw
1563892278,Neil Gaiman
1563892278,Sam Kieth
1563892278,Mike Dringenberg
1563892278,Malcolm Jon
1563898586,Alan Moore
156971620X,Neil Gaiman
156971620X,John Bolton
1592571301,Trudy Suggs
0374270325,Tom Wolfe
0375719180,Brady Udall
0440235502,Homer Hickam
044023722X,John Grisham
1573225487,Pearl Abraham
1853260673,Thomas Hardy
0060977477,Sebastian Junger
0345391691,Karen Armstrong
0520011171,Mary Barnard
0520011171,Dudley Fitts
0553278746,David Brin
0670856045,T. C. Boyle
0670856045,T. Coraghessan Boyle
0872200760,Plato
0872200760,Alexander Nehamas
0872200760,Paul Woodruff
0937858994,Lynda Madaras
0937858994,Dane Saavedra
0937858994,Jackie Aher
0671649949,Stephen Mccauley
0590431110,Isabelle Holland
0064470113,Pam Conrad
0553571486,Lurlene Mcdaniel
0972044205,Brian Kaufman
0312963009,John Darnton
0345430476,Martin Schenk
0345435869,David Eddings
0345435869,Leigh Eddings
0380728729,Paul Reiser
038081840X,David G. Hartwell
038081840X,Kathryn Cramer
0449912302,Dave Barry
055329198X,John R. Holt
0671018930,Theodore Beale
0812541642,Frank M. Robinson
0312988699,Mary Jane Clark
0486282112,Mary Shelley
0486282112,Dover Thrift Editions
0670815373,Robert Westall
0385313748,Robert B. Parker
1575843366,Rita Chapman Works
0684193957,Patricia Cornwell
0345371984,Douglas Adams
0345371984,Mark Carwardine
0380730138,A. Manette Ansay
1573228737,Sarah Waters
9681500555,Anne Frank
0380711109,Barry Lopez
0452283914,Greg Palast
0425120279,Tom Clancy
067153484X,Andrea Kane
0380728273,Nevada Barr
0446606197,Margaret Maron
0771076002,Edna Barker
0771076002,Shelagh Rogers
0771088191,Muriel Whitaker
1559703237,John Irving
3596214629,William Golding
3596214629,Hermann Stiehl
0062770500,HarperReference
0671847546,LTD
0060188731,Ann Patchett
0140374248,Roald Dahl
0140374248,Lane Smith
0142001740,Sue Monk; Sue Monk Kidd Kidd
0142001740,Roseanne J. Serra (Co
0195086295,Bob Thiele
0195086295,Bob Golden
0195086295,Steve Allen
0312995423,Dan Brown
0380704587,Colleen Mccullough
0380815923,Joanne Harris
0385416342,John Grisham
0385418493,Thomas Cahill
038542471X,John Grisham
0425098109,Michael Hudson
0449005410,Jane Smiley
0449202631,Dick Francis
0449207544,Dick Francis
0515128554,Nora Roberts
0517577402,Douglas Adams
0590450875,Jean Marzollo
0590450875,Walter Wick
0590450875,Carol Devine Carson
0590481371,Jean Marzollo
0590481371,Walter Wick
067103619X,Barbara Delinsky
0684177730,P. D. James
0684180200,Arthur W. Upfield
0743411269,Barbara Delinsky
0743470389,Christopher Rice
076218857X,Rex Stout
0767905938,Joan Anderson
0800706544,Vance Havner
0801096677,Warren W. Wiersbe
0849953014,Max Lucado
0891091963,Larry Crabb
0915811537,Barry Neil Kaufman
0927545373,Bob Sjogren
1575024179,Frederick J. Moody
1880185008,Neal Pirolo
0140345809,William Sleator
0156528207,Antoine De Saint-Exupery
0380012863,Richard Bach
0451154916,Kevin Sullivan
0785815147,Michele Morgan
0875421288,Scott Cunningham
1567184294,David Allen Hulse
156718796X,Richard Webster
1862047626,Bernard King
0020437501,Pat Hutchins
0020437501,Pat Hutchins
0198320264,William Shakespeare
0198320264,Roma Gill
0373196989,Melissa McClone
0373245580,Cheryl St. John
0451527747,Lewis Carroll
0451527747,Martin Gardner
0671867113,Mary Higgins Clark
0812504208,Mark Twain
0060173289,Rebecca Wells
0060973897,Mary Crow Dog
0060973897,Richard Erdoes
006101351X,Sebastian Junger
0140104682,Linda Gordon
0312143370,Florence King
0316666343,Alice Sebold
039456894X,Spalding Gray
0440224675,Thomas Harris
0449002632,Edward Rutherfurd
0449213773,Margaret Atwood
0452279690,Dorothy Allison
0553569058,Margaret Atwood
0679427430,Maya Angelou
0679725393,Edith Wharton
0802114369,Mary Brave Bird
0803233019,John G. Neihardt
0803233019,Vine Deloria Jr.
0819154946,Roland Warren
0897322339,Johnny Molloy
0940322978,James McCourt
0940322978,Wayne Koestenbaum
1573225126,Elizabeth Wurtzel
1579651658,Bill Bradley
1878424319,Don Miguel Ruiz
0600586898,Paul Lester
1853260622,Leo Tolstoy
1857938011,Simon Nye
0060804157,Robert A Johnson
0140382658,Marc Gascoigne
0152012966,Stephanie Maze
0312283784,Sandra Dallas
0345297709,Piers Anthony
0345313097,Piers Anthony
0345335465,Anne McCaffrey
0345416848,David Gemmell
0385333404,Laura Zigman
044021145X,John Grisham
0449212084,Margaret Truman
0553582682,Mark C. Young
0590947257,Paula Danziger
0590947257,Tony Ross
074345829X,Richard A. Lupoff
074345829X,Bruce Coville
0786913878,Carrie A. Bebris
0801491827,Ellen Carol Dubois
0816729913,Candice F. Ransom
0843136685,Sam Bobrick
0843136685,Julie Stein
0843136685,Price Stern Sloan
0866119531,Anna
0866119531,And Vogel
0866119531,Malvina (Editor) Sewell
0866119566,Charles Dickens
0866119566,Marian Leighton
0870441663,Donna K. Grosvenor
0870441663,James L. Stanfield
1561561428,Mary Wollstonecraft Shelley
1561561428,D. J. Arneson
1561561428,Eva Clif
0553210092,Nathaniel Hawthorne
0553258524,Anne McCaffrey
0688163726,Robert Westall
1569471096,Valerie Block
055358099X,Luanne Rice
0316168815,Alice Sebold
014023828X,T. Coraghessan Boyle
0316314927,Ellen Gilchrist
0345424719,John Irving
0375414746,Tim Gautreaux
0375726403,Richard Russo
0385503857,Margaret Atwood
0425156842,Jostein Gaarder
0440226104,Anna Quindlen
0452277337,Diane Johnson
0553802488,Dean Koontz
0671021001,Wally Lamb
0767903579,Adeline Yen Mah
0805063897,Barbara Ehrenreich
0679777431,Dorothy Dunnett
0553285343,John LeCarre
0486285529,Singer Media Corporation
0671002481,Olivia Goldsmith
0812523385,Emily Dickinson
0895774666,Hazel Harrison
0020199090,Joseph Girzone
0385495145,Joseph F. Girzone
0679733825,Lorraine Anderson
0842329129,Tim LaHaye
0842329129,Jerry B. Jenkins
0345451260,Ad Hudler
0740700235,Josephine Carlton
0380973545,Ted L. Nancy
0380973545,Jerry Seinfeld
0393321576,Francis Wheen
0743424425,Stephen King
0786868015,Ellen Rimbauer
0786868015,Joyce Reardon
0786868015,Steven Rimbauer
0446610178,Sidney Sheldon
0684854953,Christopher Moore
0684854953,Pamela Johnson
0743229878,Mary Higgins Clark
0380617625,Robert Lacey
0380732335,Tim Dorsey
0385337132,Jodi Compton
0440235057,Elmore Leonard
0445402040,Elmore Leonard
0618119760,Lynn Coady
0871138646,John Lawton
0026329859,Eileen Yin-Fei Lo
0060621257,Tilden Edwards
0060915544,Barbara Kingsolver
0060917016,Barbara Kingsolver
0060925000,Vikram Seth
0060932759,Isabel Allende
0061000280,Tony Hillerman
0192815318,Elizabeth Gaskell
0192815318,Elizabeth Porges Watson
0312195516,Anita Diamant
0380792664,Lauren Haney
0393048977,Gerald Stern
0399137807,Lilian Jackson Braun
039914739X,Patricia Cornwell
0451203046,Maeve Binchy
0451410556,Martha Grimes
0451523318,Henry James
0486281965,Sarah Orne Jewett
0486292940,William Carlos Williams
051762639X,Rh Value Publishing
0684824442,Edith Wharton
0743458303,Harry Kemelman
081296666X,Mil Millington
0819215635,Suzanne G. Farnham
0819215635,Joseph P. Gill
0819215635,R. Taylor McLean
0880011025,Czeslaw Milosz
1561011525,Margaret Guenther
1877727083,Roberto Juarroz
1877727083,Mary Crow
0486206173,Hans Kmoch
0486206173,Barnie F. Winkelman
0312278586,Emma Mclaughlin
0312278586,Nicola Kraus
0140370900,Paul Jennings
0674511255,Mark E. Neely Jr.
0030096189,Stephen J. Weininger
0030096189,Frank R. Stermitz
0312965745,Larry Katzenstein
0345374657,David Steinman
0395710901,Alfie Kohn
080521061X,Paula Polk Lillard
0823032612,David Lewis
0679310002,Billie Livingston
0312288115,Adele Lang
0316171107,Jen Banbury
0380710218,Patricia Daniels Cornwell
0515118656,Catherine Coulter
0553289063,Dominick Dunne
0671000306,Clive Cussler
0671673688,Mary Higgins Clark
1561672033,John Pascal
0425178242,Carl Hiaasen
0425178242,Diane Stevenson
0618173870,Jonathan Safran Foer
0156027321,Yann Martel
0375403582,Francesca Marciano
0385721420,Julia Glass
0451202341,Tawni O'Dell
0743418190,Jennifer Weiner
0385335407,Danielle Steel
0965746828,Leon Hale
0060923245,Russell Banks
0486272664,Samuel Taylor Coleridge
0786015276,BRADLEY P WARSHAUER
0786015276,Bradley P. Warshauer
0060913509,Bobbie Ann Mason
0553272837,Nora Roberts
0440225078,Karen Robards
0312145543,Emma Lathen
0425181111,Dean Koontz
0380732688,Faye Kellerman
0140286276,Jacquelyn Mitchard
0373484100,Nora Roberts
0449907481,Jane Smiley
0553107305,Diane Mott Davidson
080213825X,Candace Bushnell
0515127833,Nora Roberts
0345441133,Kristin Hannah
0515134279,Michael Marshall
0945586051,Allen Widome
0385490992,John Grisham
0385424728,John Grisham
0312980388,Wilbur Smith
0590419625,Mike Thaler
0590419625,Jared Lee
0385472951,John Grisham
0451195663,Michael Slade
0425182878,John Sandford
0425182878,John Camp
0553564528,Tami Hoag
055356451X,Tami Hoag
0743412621,Mary Higgins Clark
0849943728,Ted Dekker
0849943450,Angela Hunt
084994371X,Ted Dekker
0590406019,C. S. Lewis
0020442408,C. S Lewis
0553225987,Will Eisner
042517736X,Robin Cook
0671868713,Ann Rule
038549825X,E. Lynn Harris
0553202294,Linda Goodman
0345313860,Anne Rice
0345369947,Anne Rice
067170124X,Judith Rossner
0345353625,Marilyn French
0308102282,Wayne W. Dyer
006017143X,Armistead Maupin
0805056491,Julie Morgenstern
0679401377,Peter Straub
1562827049,James Maybrick
1562827049,Shirley Harrison
0385306032,Danielle Steel
0816152446,Barbara Taylor Bradford
0821772953,Lisa Jackson
0345379454,Sharyn McCrumb
0553576925,Kay Hooper
0743206053,Mary Higgins Clark
0688169678,Cokie Roberts
0439319552,Shana Corey
0439319552,Mark Teague
0590870157,Jesse S. Ostrow
0590870157,Charles Shaw
0307001164,Justine Korman
0307001164,Bill Langley
0307001164,Ron Dias
0307001164,Walt Disney P
0440441501,Patricia Reilly Giff
0590687301,Beverly Cleary
0439061644,K.A. Applegate
0439569842,Jane Yolen
0439569842,Mark Teague
0307118703,Golden Books
0590418858,Marvin Miller
030720152X,Craig Boldman
0816728739,H. G. Wells
0816728739,Raymond James
0816728739,Jim Deal
0865050880,Bobbie Kalman
0812519655,Mercedes Lackey
0812524853,Mercedes Lackey
0449211770,Dorothy Gilman
193072229X,MoveOn.org
0812521129,Mercedes Lackey
0345251733,Christopher Finch
1400077826,Charles Frazier
0312995431,Julia Spencer-Fleming
0312312628,Julia Spencer-Fleming
0446394521,Fannie Flagg
0590021117,Laura Ingall Wilder
068484267X,Frank McCourt
068484267X,Brooke Zimmer
068484267X,John Fontana
0553578693,Lisa Gardner
0380709260,Beverly Cleary
0380709260,Tracy Dockray
0807565288,Gertrude Chandler Warner
0312986769,Julia Spencer-Fleming
0345413377,Philip Pullman
0345413369,Philip Pullman
0679893105,Philip Pullman
0061096091,Lynn S. Hightower
0345369068,Sharyn McCrumb
0451184718,Sharyn McCrumb
0449209121,Dorothy Gilman
0060938455,Eric Schlosser
080411952X,Suzanne Brockmann
0060575808,Gail Carson Levine
0060558865,Gail Carson Levine
0767912918,Frances Kuffel
0553298860,Susan Conant
0385335679,David Schickler
0440122090,Maeve Binchy
0671525832,Judith McNaught
0553279572,Ray Bradbury
0061009059,JANET EVANOVICH
0060930187,Sylvia Plath
0516076272,Ilona Koidahl
0679450432,Richard North Patterson
0821775863,Fern Michaels
0821770209,Fern Michaels
0670855758,Betsy Byars
0553562819,Bruce Sterling
0446364193,James Patterson
0446519138,Sarah Ban Breathnach
0425179672,Alice Hoffman
0061042943,Lisa Scottoline
0399144463,Spencer Johnson
0399144463,Kenneth Blanchard
0965404560,Ian McEwan
006015781X,David Feldman
006015781X,Kas Schwan
0060930705,Richard Bausch
0312206763,Katie Fforde
0316116025,James Burke
0156013967,Bliss Broyard
0385314019,Sara Paretsky
0743444167,Charles Webb
0618231617,Elizabeth Benedict
1567920047,Stanley Morison; Brooke Crutchley (editor); Mike P
0811203220,Henry Miller
1573229148,David Whyte
0787955671,Thomas Cummings
0787955671,Warren Bennis
0787955671,Gretchen M. Spreitze
0425174484,Martha Beck
0385496907,Desmond Tutu
0446523992,Clayborne Carson
0446523992,Kris Shepard
0446523992,Andrew Young
0140185216,Jack Kerouac
0140185216,Ann Charters
0684717255,Martin Buber
0684717255,Walter Kaufmann
0486272745,Niccolò Machiavelli
0486272745,N. H. Thompson
0062507249,Paul Monette
0684801221,Ernest Hemingway
1576737357,Melody Carlson
0060083298,Alisa Kwitney
0446672211,Billie Letts
0140293248,Melissa Bank
0807070718,Rena Kornreich Gelissen
0807070718,Heather Dune Macadam
0743213831,Moon Unit Zappa
0345305477,Ted Mooney
0061080519,Susan Wiggs
0142000205,Gwyn Hyman Rubio
0316735027,Elisabeth Robinson
193156146X,Audrey Niffenegger
015600710X,Anita Shreve
0062517856,Tim Farrington
0679767789,Mark Salzman
0449911683,Chaim Potok
0425169626,Scott Spencer
0449207757,Chaim Potok
0449245691,Chaim Potok
0140029400,V. S. Naipaul
0140021566,V. S. Naipaul
2253004022,Jean Giono
2253004022,Anne-Marie Marina-Médiavilla
2253005274,Alain-Fournier
2253005274,Daniel Leuwers
225300670X,Erich Maria Remarque
225300670X,Alzir Hella
225300670X,Olivier Bournac
2266084372,Roy Lewis
2070362388,René Barjavel
2266029460,Alexandra David-Néel
2266029460,Alexandra David-Néel
2253007102,Charles Baudelaire
2253007102,Marie-Jeanne Durry
2253007102,Yves Florenn
2070417743,Ray Bradbury
2070417743,Jacques Chambon
2070417743,Henri Robillot
2266033689,Radiguet
2070384349,Emile Zola
2070384349,Henri Mitterand
207053880X,Jean Giono
207053880X,Willi Glasauer
2070334368,Louis Pergaud
2290314951,Collectif
229000510X,Robert A. (Anson) Heinlein
3492207006,Sten Nadolny
3499177757,Cheryl Benard
3499177757,Edit Schlaffer
3889774016,Christa Wichterich
3502670005,John Blofeld
0905762487,Christine Obbo
3499222604,Christa Wichterich
3746670055,Peter B Heim
0140620427,Jane Austen
3596144434,Hera Lind
3442724686,Arundhati Roy
3442724686,Anette Grube
0385504209,Dan Brown
0446525502,Nicholas Sparks
0385500769,Jane Hamilton
0399147012,Jack Higgins
0670892963,Helen Fielding
0688180639,A. Manette Ansay
0316789089,Anita Shreve
0451197275,Max Allan Collins
0425184129,Dave Barry
0151001006,David Guterson
0385505833,John Grisham
0679442790,Bernhard Schlink
0679442790,Carol Brown Janeway
0525943862,Eric Jerome Dickey
0609605925,Kristin Hannah
0060191929,Patricia Gaffney
0743206045,Mary Higgins Clark
0684864843,Barbara Delinsky
0684867818,Richard Paul Evans
0743406176,Marc Levy
0380978539,Laney Katz Becker
0679603352,John Irving
0679410430,Vladimir Nabokov
0446523569,Nicholas Sparks
0671042556,Jennifer Lauck
0679450440,Richard North Patterson
0140107649,Joe Keenan
0609606727,Jeanne Ray
0446527793,Nicholas Sparks
0446531332,Nicholas Sparks
1570717257,Tony Parsons
0060192631,Jane McCafferty
0385420161,Laura Esquivel
0385420161,Cathleen Toelke
0385420161,Carol &amp; Thomas
0345339711,J.R.R. Tolkien
052594463X,Venise Berry
039304016X,Sebastian Junger
0399147128,Nora Roberts
0670031046,Jan Karon
0394574745,Cormac McCarthy
0316969443,James Patterson
0743230051,Mary Higgins Clark
0743230051,Carol Higgins Clark
0316693200,James Patterson
0316693200,Andrew Gross
0684868911,Richard Paul Evans
0842336214,Travis Thrasher
0399148582,John McEnroe
0399148582,John Kaplan
0684864320,Barbara Delinsky
0525944834,Eric Jerome Dickey
0345428900,Sally Mandel
0451176812,Linda Lay Shuler
0671525794,Paul Theroux
0718144538,Dick Francis
0446602086,Janet Dailey
0394551427,Claude Lanzmann
0394551427,Simone De Beauvoir
0064407667,Lemony Snicket
0064407667,Brett Helquist
0007100221,Matthew Thomas
2253148539,Boris Vian
2253148539,Noël Arnaud
2253043974,Gabriel Garcia Marquez
2253043974,Claude Couffon
2020315491,Luis Sepulveda
0747549923,Hubert Selby
0743462335,Jacob Weisberg
0140253580,David Lodge
0947782141,Lily Seafield
057120354X,Philip Ardagh
0349101779,Iain Banks
0743222229,Jacob Weisberg
185479549X,David Crombie
0140292918,John Steinbeck
1854795554,Michael O'Mara
1858813093,Richard Brassey
2871290911,William Vance
2871290911,Jean Van Hamme
0198604025,R. W. Holder
1842151053,From The Editors Of Southwater
2253063339,Bernard Werber
1860198597,Andy Sloss
0767908473,Allan Zola Kronzek
0767908473,Elizabeth Kronzek
1842040154,Charles L Squire
0140622063,Gordon Jarvie
0571209521,Philip Ardagh
2264009306,Boris Vian
1841952931,Alan Spence
0890877564,Helene Siegel
0890877564,Karen Gillingham
1405200677,A A Milne
0416196772,A. A. Milne
0747538069,Eric Thompson
0375501347,Elizabeth Strout
0060927240,Russell Banks
0316776963,David Sedaris
156341029X,Leslie Feinberg
0060934719,Neil Gaiman
1886383421,Chris Anne Wolfe
1888451084,Lauren Sanders
0451450256,Gael Baudino
1555835953,Lauren Maddison
0395877563,Carol Anshaw
0962893862,Jean Stewart
1555834531,Emma Donoghue
0393318435,Deborah E. McDowell
0889740828,Karen X. Tulchinsky
1563410443,Dorothy Allison
1563899388,Jill Thompson
1563411148,Jody Seay
0553579681,Manda Scott
0553579673,Manda Scott
0451181379,Dean Koontz
0786889160,Jeff Foxworthy
0345370740,Terry Brooks
0553574175,A.C. Crispin
0553574167,A.C. Crispin
0553574159,A.C. Crispin
0312287240,Madelyn Arnold
0679801146,Tamora Pierce
0446300101,Carolyn Chute
0821750410,Sara Orwig
0425142485,Dean Koontz
